	prev 	 next	 prev_priority	 next_priority	 prev_policy	 next_policy	 n_tickets	 switch_time 
log[90]:	 1284	 1284	 70	 70	3	 3	 625	 1503584 

log[91]:	 1284	 1284	 70	 70	3	 3	 625	 1503737 

log[92]:	 1284	 1285	 70	 70	3	 3	 625	 1503890 

log[93]:	 1285	 1285	 70	 70	3	 3	 625	 1504043 

log[94]:	 1285	 1285	 70	 70	3	 3	 625	 1504196 

log[95]:	 1285	 1285	 70	 70	3	 3	 625	 1504349 

log[96]:	 1285	 1285	 70	 70	3	 3	 625	 1504502 

log[97]:	 1285	 1284	 70	 70	3	 3	 625	 1504655 

log[98]:	 1284	 1284	 70	 70	3	 3	 625	 1504808 

log[99]:	 1284	 1285	 70	 70	3	 3	 625	 1504961 

